displacement,horsepower,weight,cylinders,modelYear,drivetrain,transmission,mpg
2.8,217,2913,6,1974,3,0,31
4.1,366,3041,10,1994,1,1,23.7
4.6,420,3405,12,2001,3,0,17.3
1.5,145,2635,4,2001,0,2,46.6
4.5,455,3950,12,1985,3,0,11.1
4,390,3700,10,2015,1,0,23.1
1.6,147,2692,4,1977,1,1,40.9
5.2,479,3637,12,2016,3,0,15.6
1.8,154,2726,4,1991,3,2,41.1
1.7,160,2255,4,1995,3,0,43.5
1.1,122,2603,3,1972,3,0,42.7
5.1,460,4058,12,2007,3,1,12.4
3.2,265,3395,8,1990,1,2,27.7
1,142,2430,3,1970,2,0,42.2
1.7,166,2949,4,1999,1,2,43.4
2.5,252,3044,6,1990,3,2,35.1
1.4,156,2270,4,1984,3,2,43
1.8,121,2560,4,1998,2,1,46.2
3.7,311,2834,8,2010,3,1,32.6
1.7,180,2981,4,2003,3,0,41.8
4.4,326,3400,10,1984,1,2,21.4
4,338,3608,10,1985,0,2,20
3.1,267,3252,8,1972,1,1,26.5
2.3,199,2763,6,1982,2,2,35.4
4.4,360,3556,10,1978,2,0,18.1
1.2,163,2768,3,1982,0,1,42.3
2.1,168,3152,4,1990,2,2,39
1.2,147,2823,3,2018,2,2,48.6
1.3,134,2529,4,1985,2,0,43.8
2.3,214,2765,6,2017,2,0,42.4
2.3,194,2864,6,2013,1,2,43.2
1.6,164,2720,4,1987,1,1,40.6
2,140,3082,4,2004,1,1,43.9
2.6,209,2745,6,2007,2,1,39.9
2.3,247,3037,6,2022,0,0,39.1
3,267,3395,8,2002,0,1,30.4
1.4,102,2501,3,2003,3,0,48.6
1.9,136,2912,4,2002,0,1,46.2
2.6,241,2971,6,2024,2,2,40.2
1.3,163,2855,4,1998,3,0,42
1.3,135,2508,4,1989,0,0,46.9
3.5,284,2975,8,1995,2,2,28.8
4.2,394,3679,10,1985,0,2,16.9
3.9,368,3121,10,1987,0,0,20.8
2.3,224,2922,6,1995,0,2,36.3
3.7,295,3349,8,1987,3,2,26.1
2.7,228,2452,6,1990,1,1,36.3
1.6,106,2855,3,1977,2,0,43
